id_via,id_soc,p5_3,n_via,p5_6,p5_7_6,p5_7_7,dto_origen,p5_9_1,p5_9_2,p5_10_1,p5_10_2,p5_11a,p5_12_6,p5_12_7,dto_dest,p5_13,p5_14_01,p5_15_01,p5_14_02,p5_15_02,p5_14_03,p5_15_03,p5_14_04,p5_15_04,p5_14_05,p5_15_05,p5_14_06,p5_15_06,p5_14_07,p5_15_07,p5_14_08,p5_15_08,p5_14_09,p5_15_09,p5_14_10,p5_15_10,p5_14_11,p5_15_11,p5_14_12,p5_15_12,p5_14_13,p5_15_13,p5_14_14,p5_15_14,p5_14_15,p5_15_15,p5_14_16,p5_15_16,p5_14_17,p5_15_17,p5_14_18,p5_15_18,p5_14_19,p5_15_19,p5_14_20,p5_15_20,p5_18,p5_19,p5_20,p5_21_1,p5_21_2,p5_22,p5_23,p5_24,p5_25,p5_26,p5_27_1,p5_27_2,p5_27_3,p5_27_4,p5_27_5,p5_27_6,p5_27_7,p5_27_8,estrato,factor,upm_dis,est_dis,tloc,sexo,edad
3519,1481,1,01,01,015,09,002,14,00,14,30,02,016,09,021,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,01,2,99,99,2,,,1,00,,,,,,,,,2,111,00102,0030,1,1,80
3520,1481,1,02,02,016,09,021,21,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,01,1,99,99,1,1200,5,1,00,,,,,,,,,2,111,00102,0030,1,1,80
3520,1481,1,02,02,016,09,021,21,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,01,1,99,99,1,1200,5,1,00,,,,,,,,,2,111,00102,0030,1,1,80
2392,1062,2,01,01,015,09,002,14,00,14,50,05,002,09,020,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,1,04,00,1,0015,2,1,00,,,,,,,,,3,138,00073,0040,1,1,27
2392,1062,2,01,01,015,09,002,14,00,14,50,05,002,09,020,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,1,04,00,1,0015,2,1,00,,,,,,,,,3,138,00073,0040,1,1,27
2393,1062,2,02,05,002,09,020,18,00,18,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,4,,,,,,1,00,,,,,,,,,3,138,00073,0040,1,1,27
2393,1062,2,02,05,002,09,020,18,00,18,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,4,,,,,,1,00,,,,,,,,,3,138,00073,0040,1,1,27
2398,1065,1,01,01,015,09,002,11,00,13,30,02,003,09,051,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,07,00,2,,,1,00,,,,,,,,,3,138,00073,0040,1,1,55
2398,1065,1,01,01,015,09,002,11,00,13,30,02,003,09,051,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,07,00,2,,,1,00,,,,,,,,,3,138,00073,0040,1,1,55
2399,1065,1,02,02,003,09,051,20,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,138,00073,0040,1,1,55
2399,1065,1,02,02,003,09,051,20,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,138,00073,0040,1,1,55
742,329,1,01,01,015,09,001,09,00,09,40,02,003,09,048,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,03,00,2,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
742,329,1,01,01,015,09,001,09,00,09,40,02,003,09,048,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,03,00,2,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
743,329,1,02,02,003,09,048,13,00,14,00,01,015,09,001,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
743,329,1,02,02,003,09,048,13,00,14,00,01,015,09,001,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
744,329,2,01,01,015,09,001,13,00,13,40,05,057,15,110,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,04,00,1,0030,1,1,00,,,,,,,,,3,110,00026,0020,1,1,47
744,329,2,01,01,015,09,001,13,00,13,40,05,057,15,110,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,04,00,1,0030,1,1,00,,,,,,,,,3,110,00026,0020,1,1,47
745,329,2,02,05,057,15,110,18,00,18,30,01,015,09,001,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
745,329,2,02,05,057,15,110,18,00,18,30,01,015,09,001,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,110,00026,0020,1,1,47
750,332,1,01,01,015,09,001,09,00,10,00,03,010,09,047,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,11,00,2,,,1,00,,,,,,,,,3,110,00026,0020,1,1,77
